OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,Black,Office Supplies,Storage,2016-03-18,,6,8.88E+11,,0
OFF-ST-10001963,Tennsco Regal Shelving Units,Black,Office Supplies,Storage,2016-03-11,,,,,6
OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Black,Office Supplies,Storage,2016-02-02,,40,,,3
OFF-ST-10002182,"Iris 3-Drawer Stacking Bin, Black",Black,Office Supplies,Storage,2016-11-15,Polo Ralph Lauren,8,8.89E+11,,0
OFF-ST-10002205,File Shuttle I and Handi-File,Black,Office Supplies,Storage,2015-10-30,,,,,6
OFF-ST-10002214,X-Rack File for Hanging Folders,Pink,Office Supplies,Storage,2016-11-06,,,8.89E+11,,1
OFF-ST-10002276,Safco Steel Mobile File Cart,Blue,Office Supplies,Storage,2016-02-21,,,8.00E+11,3.44 lbs,0
OFF-ST-10002289,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",Blue,Office Supplies,Storage,2017-01-27,Western Chief,,6.07E+11,,0
OFF-ST-10002292,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Blue,Office Supplies,Storage,2016-11-21,,,,,0
OFF-ST-10002301,Tennsco Commercial Shelving,Blue,Office Supplies,Storage,2016-01-15,,"XS,S,L,M,XL",,,0
OFF-ST-10002344,"Carina 42""Hx23 3/4""W Media Storage Unit",Blue,Office Supplies,Storage,2017-01-12,Sanuk,"10.5,8.5,9.5,9,8,12",7.37E+11,,8
OFF-ST-10002352,Iris Project Case,Black,Office Supplies,Storage,2016-11-07,,"10.5,10,8.5,9.5,7.5,9,8,13,11,12",6.05E+11,,0
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Black,Office Supplies,Storage,2016-03-21,,,,,3
OFF-ST-10002406,Pizazz Global Quick File,Black,Office Supplies,Storage,2017-01-16,Weaver Leather,,399116115,,2
OFF-ST-10002444,Recycled Eldon Regeneration Jumbo File,Blue,Office Supplies,Storage,2016-01-02,,"3X,4XLT,3XLT,XXL,L,XLT,2XLT,XL",,,0
OFF-ST-10002485,Rogers Deluxe File Chest,Blue,Office Supplies,Storage,2016-03-22,,,,,2
OFF-ST-10002486,Eldon Shelf Savers Cubes and Bins,Blue,Office Supplies,Storage,2016-11-01,Wolverine World Wide,,7.73E+11,,2
OFF-ST-10002554,Tennsco Industrial Shelving,Blue,Office Supplies,Storage,2017-01-17,Cole Haan,7.5,7.19E+11,,0
OFF-ST-10002562,Staple magnet,Black,Office Supplies,Storage,2016-03-24,,"5.5,8.5,10,7,6,5,9.5,6.5,7.5,9,8,11,12",,,2
OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",Pink,Office Supplies,Storage,2016-03-11,,,,,0
OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,Pink,Office Supplies,Storage,2017-01-22,Muk Luks,8,33977167551,,2
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Pink,Office Supplies,Storage,2017-01-27,J. Renee,8,6.05E+11,,4
OFF-ST-10002743,SAFCO Boltless Steel Shelving,Blue,Office Supplies,Storage,2016-03-15,,,,,3
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Black,Office Supplies,Storage,2016-01-01,,,,,0
OFF-ST-10002790,Safco Industrial Shelving,Blue,Office Supplies,Storage,2017-01-12,Servus,,86189007344,,5
OFF-ST-10002957,Sterilite Show Offs Storage Containers,Black,Office Supplies,Storage,2016-10-28,H by Halston,,,,2
OFF-ST-10003058,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Pink,Office Supplies,Storage,2016-01-02,,,,,0
OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,White,Office Supplies,Storage,2017-01-12,Laredo,,6.79E+11,,0
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Pink,Office Supplies,Storage,2016-03-04,,11,8.87E+11,,13
OFF-ST-10003221,Staple magnet,Black,Office Supplies,Storage,2016-03-21,,,,,2
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Blue,Office Supplies,Storage,2016-03-30,,,,,0
OFF-ST-10003306,Letter Size Cart,Blue,Office Supplies,Storage,2015-04-03,Ted Lapidus,,6.30E+11,1.0 lbs,0
OFF-ST-10003324,Belkin OmniView SE Rackmount Kit,Black,Office Supplies,Storage,2016-04-08,,,5.34E+11,,0
OFF-ST-10003327,Akro-Mils 12-Gallon Tote,Blue,Office Supplies,Storage,2016-01-02,,"10,8.5,7,6,9.5,6.5,7.5,9,8",,,0
OFF-ST-10003442,Eldon Portable Mobile Manager,Blue,Office Supplies,Storage,2016-02-21,,,,1.0 lbs,0
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Blue,Office Supplies,Storage,2016-01-02,,1X,,,0
OFF-ST-10003470,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Black,Office Supplies,Storage,2016-10-28,Dearfoams,,39161937528,,3
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Blue,Office Supplies,Storage,2016-01-20,,,,,3
OFF-ST-10003572,Portfile Personal File Boxes,Black,Office Supplies,Storage,2016-02-02,,,,,0
OFF-ST-10003638,Mobile Personal File Cube,Blue,Office Supplies,Storage,2016-01-02,,,,,2
OFF-ST-10003641,Space Solutions Industrial Galvanized Steel Shelving.,Blue,Office Supplies,Storage,2016-06-08,,,8.85E+11,,0
OFF-ST-10003656,Safco Industrial Wire Shelving,Blue,Office Supplies,Storage,2016-10-05,Reef,"9,8",8.82E+11,,0
OFF-ST-10003692,Recycled Steel Personal File for Hanging File Folders,Black,Office Supplies,Storage,2016-06-08,,,,,2
OFF-ST-10003716,Tennsco Double-Tier Lockers,Blue,Office Supplies,Storage,2016-04-07,,12,8.88E+11,,2
OFF-ST-10003722,Project Tote Personal File,Blue,Office Supplies,Storage,2016-02-16,,,,,0
OFF-ST-10003805,"24 Capacity Maxi Data Binder Racks, Pearl",Blue,Office Supplies,Storage,2015-11-16,Qianyuyu,,,499 g,0
OFF-ST-10003816,Fellowes High-Stak Drawer Files,Blue,Office Supplies,Storage,2016-04-15,,,8.89E+11,,3
OFF-ST-10003994,"Belkin 19"" Center-Weighted Shelf, Gray",Pink,Office Supplies,Storage,2016-11-07,Ramon Tenza,6,,,0
OFF-ST-10003996,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Blue,Office Supplies,Storage,2017-01-27,Crocs Footwear,,8.41E+11,,0
OFF-ST-10004123,Safco Industrial Wire Shelving System,Blue,Office Supplies,Storage,2016-11-01,Inov-8,"10,10.5,11,11.5,9",,,4
OFF-ST-10004180,Safco Commercial Shelving,Pink,Office Supplies,Storage,2016-11-02,Toms,,8.90E+11,,0
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Blue,Office Supplies,Storage,2016-11-04,Ryka,"6W,7.5W,9W,8.5M,9M,9.5M,10W,10.5M,8.5W,7.5M,7M,9.5W,10M,10.5W,5M,8W,5.5M,11W,8M,6.5M,6,6M,11M,6.5W,7W",,,4
OFF-ST-10004258,Portable Personal File Box,Pink,Office Supplies,Storage,2016-03-10,,,,,0
OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",Blue,Office Supplies,Storage,2016-08-27,CXYY Sports,"35,34,38,33,39,36,37",,499 g,0
OFF-ST-10004340,"Fellowes Mobile File Cart, Black",Blue,Office Supplies,Storage,2017-01-27,Reebok,10,8.90E+11,,4
OFF-ST-10004459,Tennsco Single-Tier Lockers,Blue,Office Supplies,Storage,2017-01-12,Jessica Simpson,"10,6,6.5,7,7.5,8,8.5,9,9.5",8.89E+11,,3
OFF-ST-10004507,Advantus Rolling Storage Box,Blue,Office Supplies,Storage,2017-01-09,Mizuno,"10,8",41969099322,,0
OFF-ST-10004634,"Personal Folder Holder, Ebony",Blue,Office Supplies,Storage,2017-01-27,Guess,9.5,8.89E+11,,2
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Blue,Office Supplies,Storage,2016-01-02,,,,,3
OFF-ST-10004835,Plastic Stacking Crates & Casters,Black,Office Supplies,Storage,2016-08-11,,,415787916,,0
OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers,Pink,Office Supplies,Storage,2016-06-08,BEKINA,6,,,0
OFF-ST-10004963,Eldon Gobal File Keepers,Blue,Office Supplies,Storage,2017-01-27,GameDay Boots,"10.5,9.5,9,11.5,8,13,11,12",8.49E+11,,4
OFF-SU-10000151,Ikea High Speed Automatic Electric Letter Opener,Blue,Office Supplies,Supplies,2016-01-02,,,,,3
OFF-SU-10000157,Compact Automatic Electric Letter Opener,Blue,Office Supplies,Supplies,2016-03-11,,,,,4
OFF-SU-10000381,Acme Forged Steel Scissors with Black Enamel Handles,White,Office Supplies,Supplies,2017-01-22,Twisted X,"10 M,10.5 M,11 M,11.5 M,8.5 M,9 M",8.85E+11,,2
OFF-SU-10000646,Premier Automatic Letter Opener,Pink,Office Supplies,Supplies,2016-03-12,,,8.84E+11,,0
OFF-SU-10000898,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Blue,Office Supplies,Supplies,2016-01-01,,,,,0
OFF-SU-10000952,Fiskars Home & Office Scissors,Pink,Office Supplies,Supplies,2016-10-28,PleaserUSA,,8.85E+11,,4
OFF-SU-10001165,Acme Elite Stainless Steel Scissors,White,Office Supplies,Supplies,2017-01-27,Dan Post,,6.79E+11,,2
OFF-SU-10001212,Kleencut Forged Office Shears by Acme United Corporation,Blue,Office Supplies,Supplies,2015-11-09,,,7.27E+11,3.0 lbs,0
OFF-SU-10001218,Fiskars Softgrip Scissors,Blue,Office Supplies,Supplies,2016-03-12,,,,,5
OFF-SU-10001225,Staple remover,Black,Office Supplies,Supplies,2017-01-27,,,8.28E+11,,2
OFF-SU-10001574,Acme Value Line Scissors,Blue,Office Supplies,Supplies,2015-11-16,Qianyuyu,,,499 g,2
OFF-SU-10001664,Acme Office Executive Series Stainless Steel Trimmers,Blue,Office Supplies,Supplies,2017-01-24,Drew Shoe Corporation,"10 W,10.5 W,12 W,5 M,6 W,6.5 W,7 M,7 W,7.5 W,8 W,8.5 M,8.5 W,9 M,9 W",7.08E+11,,0
OFF-SU-10001935,Staple remover,Black,Office Supplies,Supplies,2016-04-23,,8.5,8.88E+11,,4
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Blue,Office Supplies,Supplies,2015-12-01,,"Medium,Large,Small",,,0
OFF-SU-10002503,Acme Preferred Stainless Steel Scissors,Blue,Office Supplies,Supplies,2017-01-14,,,1.91E+11,,0
OFF-SU-10002522,Acme Kleen Earth Office Shears,Pink,Office Supplies,Supplies,2017-01-20,Donald J Pliner,"10,5.5,7.5,9",8.21E+11,,0
OFF-SU-10002537,Acme Box Cutter Scissors,Black,Office Supplies,Supplies,2016-03-11,,,,,0
OFF-SU-10002557,Fiskars Spring-Action Scissors,Blue,Office Supplies,Supplies,2017-01-27,G by Guess,7,8.88E+11,,0
OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",Blue,Office Supplies,Supplies,2016-11-04,Jacobies,8.5,,,0
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Blue,Office Supplies,Supplies,2016-11-07,,9.5,8.88E+11,,4
OFF-SU-10003002,Letter Slitter,Blue,Office Supplies,Supplies,2016-04-01,Salomon,,,726 g,3
OFF-SU-10003505,Premier Electric Letter Opener,Blue,Office Supplies,Supplies,2017-01-30,,,8.89E+11,,2
OFF-SU-10003567,Stiletto Hand Letter Openers,Blue,Office Supplies,Supplies,2017-01-09,,"5.5,6",8.85E+11,,0
OFF-SU-10003936,Acme Serrated Blade Letter Opener,Blue,Office Supplies,Supplies,2017-01-12,,"10.5,9.5,9,11.5,8,13,11,12",8.89E+11,,0
OFF-SU-10004115,Acme Stainless Steel Office Snips,Blue,Office Supplies,Supplies,2016-03-15,,6,,,0
OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Pink,Office Supplies,Supplies,2016-11-11,,,8.88E+11,,4
OFF-SU-10004261,"Fiskars 8"" Scissors, 2/Pack",Pink,Office Supplies,Supplies,2017-01-17,,"10,7,6,9,8",,,0
OFF-SU-10004290,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",White,Office Supplies,Supplies,2016-03-26,,,,,2
OFF-SU-10004498,Martin-Yale Premier Letter Opener,Blue,Office Supplies,Supplies,2016-08-23,The Highest Heel,,8.46E+11,,0
OFF-SU-10004661,Acme Titanium Bonded Scissors,Pink,Office Supplies,Supplies,2017-01-09,a.x.n.y.,"5.5,7,6,6.5,7.5,9,8",8.88E+11,,0
OFF-SU-10004664,Acme Softgrip Scissors,Blue,Office Supplies,Supplies,2016-02-03,O'Neal,,,91 g,0
OFF-SU-10004737,Acme Design Stainless Steel Bent Scissors,Black,Office Supplies,Supplies,2016-03-22,,11,8.87E+11,,0
OFF-SU-10004768,Acme Kleencut Forged Steel Scissors,Black,Office Supplies,Supplies,2017-01-27,,"10,18,13,14",8.89E+11,,2
OFF-SU-10004782,"Elite 5"" Scissors",Blue,Office Supplies,Supplies,2016-02-17,,,8.85E+11,,5
OFF-SU-10004884,Acme Galleria Hot Forged Steel Scissors with Colored Handles,Blue,Office Supplies,Supplies,2016-03-15,,,,,0
TEC-AC-10000023,"Maxell 74 Minute CD-R Spindle, 50/Pack",Blue,Technology,Accessories,2016-04-01,,,7.39E+11,,2
TEC-AC-10000057,Microsoft Natural Ergonomic Keyboard 4000,Blue,Technology,Accessories,2017-01-09,Style & Co,"10,7,6,9.5,6.5,7.5,9,8",6.89E+11,,7
TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Black,Technology,Accessories,2016-10-27,Bar III,"8,9,9.5,10,11,5,5.5,7.5,8.5",6.08E+11,,3
TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Blue,Technology,Accessories,2016-11-11,Easy Spirit,7.5,7.30E+11,,0
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Blue,Technology,Accessories,2016-03-21,,,,,3
TEC-AC-10000199,Kingston Digital DataTraveler 8GB USB 2.0,Blue,Technology,Accessories,2017-01-27,Vince Camuto,10,8.87E+11,,2
TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Blue,Technology,Accessories,2016-03-11,,,,,0
TEC-AC-10000358,Imation�Secure�Drive�+ Hardware Encrypted USB�flash drive�- 16 GB,Blue,Technology,Accessories,2016-11-04,MICHAEL Michael Kors,8,8.89E+11,,0
TEC-AC-10000387,KeyTronic�KT800P2 -�Keyboard�- Black,Blue,Technology,Accessories,2016-11-11,Michael Antonio,,8.87E+11,,0
TEC-AC-10000397,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",Blue,Technology,Accessories,2017-01-12,,,6.48E+11,,0
TEC-AC-10000420,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Blue,Technology,Accessories,2015-08-14,Giorgio Brutini,"7.5M,7M,8.5M,11M,11.5M,10M,9M,13M,8M,9.5M,10.5M,12M,10,10.5,11,11.5,12,13",7.27E+11,,2
TEC-AC-10000474,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Blue,Technology,Accessories,2016-05-31,,,,,0
TEC-AC-10000487,SanDisk Cruzer 4 GB USB Flash Drive,Black,Technology,Accessories,2016-08-27,SNEED,,,599 g,4
TEC-AC-10000521,"Verbatim Slim CD and DVD Storage Cases, 50/Pack",White,Technology,Accessories,2016-11-04,Toms,,8.41E+11,,0
TEC-AC-10000580,Logitech G13 Programmable Gameboard with LCD Display,Blue,Technology,Accessories,2016-03-14,,,,,0
TEC-AC-10000682,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,Blue,Technology,Accessories,2016-11-15,,,6.48E+11,,0
TEC-AC-10000710,Maxell DVD-RAM Discs,Blue,Technology,Accessories,2016-11-11,CTM,,8.41E+11,,0
TEC-AC-10000736,Logitech G600 MMO Gaming Mouse,Blue,Technology,Accessories,2017-01-07,,,,,0
TEC-AC-10000844,Logitech�Gaming G510s - Keyboard,Blue,Technology,Accessories,2016-03-15,,,,,2
TEC-AC-10000865,WD My Passport Ultra 500GB Portable External Hard Drive,Black,Technology,Accessories,2016-01-02,,,,,0
TEC-AC-10000892,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Black,Technology,Accessories,2017-01-27,,,98681312147,,0
TEC-AC-10000926,NETGEAR RangeMax WNR1000 Wireless Router,Blue,Technology,Accessories,2016-01-02,,"8.5,7,6.5,7.5,9,8",,,3
TEC-AC-10000927,"Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ",Blue,Technology,Accessories,2016-03-30,,,7.64E+11,,1
TEC-AC-10000990,Imation Bio 2GB USB�Flash Drive Imation�Corp,Pink,Technology,Accessories,2017-01-24,PleaserUSA,,https://www.walmart.com/ip/PLEASER-SPIKY-608MG-Women-s-6-1-2-Heel-2-3-4-PF-Ankle-Strap-Sandals/137768259,,0
TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Pink,Technology,Accessories,2017-01-27,Kenneth Cole NY,8,8.87E+11,,0
TEC-AC-10001013,Logitech ClearChat Comfort/USB Headset H390,Pink,Technology,Accessories,2016-11-01,Dolce Vita,,8.89E+11,,6
TEC-AC-10001090,Micro Innovations Wireless Classic Keyboard with Mouse,Blue,Technology,Accessories,2015-11-16,Qianyuyu,,,499 g,0
TEC-AC-10001101,Sony 16GB Class 10 Micro SDHC R40 Memory Card,Blue,Technology,Accessories,2016-08-27,SNEED,,,599 g,0
TEC-AC-10001109,Logitech Trackman Marble Mouse,Blue,Technology,Accessories,2015-11-16,Icebug,,,1.2 Kg,0
TEC-AC-10001114,Microsoft Wireless Mobile Mouse 4000,Blue,Technology,Accessories,2016-03-22,,,,,0
TEC-AC-10001142,First Data FD10 PIN Pad,Blue,Technology,Accessories,2016-04-09,,,8.01E+11,,0
TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Blue,Technology,Accessories,2017-01-14,Slipperooz by Deer Stags,"13,10,11 M,12 M,7 M,8 M,9 M",7.03E+11,,0
TEC-AC-10001267,Imation�32GB Pocket Pro USB 3.0�Flash Drive�- 32 GB - Black - 1 P ...,Blue,Technology,Accessories,2017-01-12,Mari A.,"10,8.5,7,6,9.5,7.5,9,8",8.89E+11,,0
TEC-AC-10001284,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Blue,Technology,Accessories,2016-11-11,Easy Spirit,"10,6.5,7.5",29025629621,,0
TEC-AC-10001314,Case Logic 2.4GHz Wireless Keyboard,Blue,Technology,Accessories,2016-04-30,,11,8.87E+11,,0
TEC-AC-10001383,Logitech Wireless Touch Keyboard K400,Black,Technology,Accessories,2016-11-10,Kelly & Katie,,8.88E+11,,2
TEC-AC-10001432,Enermax Aurora Lite Keyboard,Blue,Technology,Accessories,2016-04-10,,,7.32E+11,,0
TEC-AC-10001445,Imation�USB 2.0 Swivel�Flash Drive�USB�flash drive�- 4 GB - Pink,Blue,Technology,Accessories,2016-01-02,,,,,2
TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive,Blue,Technology,Accessories,2017-01-06,,,,,0
TEC-AC-10001539,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,Black,Technology,Accessories,2015-11-16,Qianyuyu,,,499 g,0
TEC-AC-10001542,SanDisk Cruzer 16 GB USB Flash Drive,White,Technology,Accessories,2016-03-31,,,,,0
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Blue,Technology,Accessories,2016-03-23,,,7.29E+11,,1
TEC-AC-10001553,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Blue,Technology,Accessories,2016-11-10,Nine West,"10,9",29014260705,,0
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Blue,Furniture,Chairs,2016-02-17,,,52177504317,,2
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Blue,Furniture,Chairs,2017-01-12,Stacy Adams,"9,14",7.18E+11,,0
FUR-CH-10004540,Global Chrome Stack Chair,Black,Furniture,Chairs,2016-02-14,,,,,1
FUR-CH-10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Blue,Furniture,Chairs,2017-01-27,GameDay Boots,"5.5,7,5,8",8.49E+11,,4
FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",Blue,Furniture,Chairs,2016-03-22,,,,,0
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Blue,Furniture,Chairs,2015-11-11,,,,,0
FUR-CH-10004754,"Global Stack Chair with Arms, Black",Pink,Furniture,Chairs,2017-01-27,Report,"8.5,6,7.5",8.85E+11,,4
FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",Blue,Furniture,Chairs,2017-01-27,Rubies Costume Co,S,8.83E+11,,4
FUR-CH-10004860,Global Low Back Tilter Chair,Pink,Furniture,Chairs,2016-07-08,,,,,7
FUR-CH-10004875,Harbour Creations 67200 Series Stacking Chairs,Blue,Furniture,Chairs,2016-11-14,Sunny Feet,"7,6,6.5,7.5",,,0
FUR-CH-10004886,Bevis Steel Folding Chairs,Blue,Furniture,Chairs,2016-03-04,,11.5,8.88E+11,,2
FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Blue,Furniture,Chairs,2016-10-10,,9,8.41E+11,,0
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Blue,Furniture,Chairs,2017-01-20,VANS,9,7.58E+11,,3
FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Pink,Furniture,Furnishings,2017-01-27,,"8 M,10 M,7.5 M,7 M,6.5 M,8.5 M,6 M,9 M,9.5 M,5.5 M",7.84E+11,,0
FUR-FU-10000023,Eldon Wave Desk Accessories,Pink,Furniture,Furnishings,2016-03-30,,,,,0
FUR-FU-10000073,Deflect-O Glasstique Clear Desk Accessories,Pink,Furniture,Furnishings,2016-05-21,,,,,0
FUR-FU-10000076,24-Hour Round Wall Clock,Blue,Furniture,Furnishings,2017-01-12,,,7.01E+11,,2
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Blue,Furniture,Furnishings,2016-03-05,,,7.88E+11,,0
FUR-FU-10000175,DAX Wood Document Frame.,Black,Furniture,Furnishings,2016-03-04,,9.5,8.86E+11,,0
FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,Pink,Furniture,Furnishings,2016-08-02,,,7.89E+11,,0
FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Blue,Furniture,Furnishings,2016-03-23,,,7.02E+11,,0
FUR-FU-10000221,"Master Caster Door Stop, Brown",Blue,Furniture,Furnishings,2016-11-10,J.Renee,,6.05E+11,,0
FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",Blue,Furniture,Furnishings,2017-01-09,Cobian,8,8.40E+11,,3
FUR-FU-10000246,Aluminum Document Frame,Pink,Furniture,Furnishings,2016-11-04,Nine West,,7.37E+11,,4
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Blue,Furniture,Furnishings,2016-01-02,,"3X,S,L,M,2X,XL,1X",,,0
FUR-FU-10000277,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,White,Furniture,Furnishings,2017-01-27,Reebok,,8.83E+11,,2
FUR-FU-10000293,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Black,Furniture,Furnishings,2016-01-01,,"8.5,10,7,6,5,9.5,6.5,7.5,9,8,11",,,3
FUR-FU-10000305,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",White,Furniture,Furnishings,2016-04-10,,10,6.49E+11,,2
FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,Black,Furniture,Furnishings,2016-05-06,,,,,4
FUR-FU-10000320,OIC Stacking Trays,Blue,Furniture,Furnishings,2017-01-14,Karen Scott,"5,5.5,6,7.5,9,9.5",8.87E+11,,0
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Blue,Furniture,Furnishings,2015-09-20,,,,,2
FUR-FU-10000409,"GE 4 Foot Flourescent Tube, 40 Watt",Blue,Furniture,Furnishings,2016-03-25,,,,,0
FUR-FU-10000448,Tenex Chairmats For Use With Carpeted Floors,Blue,Furniture,Furnishings,2016-11-15,Nike,,8.86E+11,,9
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Blue,Furniture,Furnishings,2016-07-26,,,,,8
FUR-FU-10000550,Stacking Trays by OIC,Blue,Furniture,Furnishings,2016-08-27,SNEED,,,599 g,0
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Black,Furniture,Furnishings,2015-11-16,Qianyuyu,,,499 g,0
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Pink,Furniture,Furnishings,2017-01-27,,,8.87E+11,,6
FUR-FU-10000672,"Executive Impressions 10"" Spectator Wall Clock",Black,Furniture,Furnishings,2017-01-24,Acacia,,6.57E+11,,2
FUR-FU-10000719,"DAX Cubicle Frames, 8-1/2 x 11",Blue,Furniture,Furnishings,2016-03-15,,"6,6.5,7,7.5,8,8.5,9,10",,,0
FUR-FU-10000732,Eldon 200 Class Desk Accessories,Pink,Furniture,Furnishings,2015-11-16,Qianyuyu,,,499 g,4
FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,White,Furniture,Furnishings,2016-11-04,Lucky Brand,7,8.88E+11,,0
FUR-FU-10000755,Eldon Expressions Mahogany Wood Desk Collection,Blue,Furniture,Furnishings,2016-11-04,Nine West,"10.5,11",7.22E+11,,3
FUR-FU-10000758,DAX Natural Wood-Tone Poster Frame,Pink,Furniture,Furnishings,2016-11-04,Calvin Klein,"6,9.5,9",8.89E+11,,0
FUR-FU-10000771,"Eldon 200 Class Desk Accessories, Smoke",Blue,Furniture,Furnishings,2016-02-02,,,8.87E+11,,0
FUR-FU-10000794,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Pink,Furniture,Furnishings,2015-11-16,Generic,,,,0
FUR-FU-10000820,Tensor Brushed Steel Torchiere Floor Lamp,Pink,Furniture,Furnishings,2016-04-12,,,,,0
FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Blue,Furniture,Furnishings,2017-01-27,,7.5,8.88E+11,,0
FUR-FU-10001025,"Eldon Im�ge Series Desk Accessories, Clear",White,Furniture,Furnishings,2017-01-17,Via Spiga,7,,,3
FUR-FU-10001037,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Blue,Furniture,Furnishings,2017-01-24,,"10 M,5 M,6 M,7 M,9.5 M",7.28E+11,,2
FUR-FU-10001057,Tensor Track Tree Floor Lamp,Blue,Furniture,Furnishings,2016-02-14,,,6.10E+11,,3
FUR-FU-10001085,3M Polarizing Light Filter Sleeves,Pink,Furniture,Furnishings,2016-04-10,,,8.89E+11,,0
FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Blue,Furniture,Furnishings,2016-02-02,,,8.88E+11,,5
FUR-FU-10001185,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Pink,Furniture,Furnishings,2016-05-21,,9.5,6.30E+11,,0
FUR-FU-10001196,DAX Cubicle Frames - 8x10,Pink,Furniture,Furnishings,2016-01-02,,"10,7,6,9,8",,,2
